date,platform,channel,account_name,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,creative_id,creative_name,landing_page,geo,device,currency,spend,impressions,reach,frequency,clicks,link_clicks,ctr,cpc,video_views,video_view_rate,completed_views,listen_starts,completed_listens,sessions,accounts_created,new_activated_users,conversion_value,source_file,source_grain,attribution_notes,data_confidence,notes
2025-09-01,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,13,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-02,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,203,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-03,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,106,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-04,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,151,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-05,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,55,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-06,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,26,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-07,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,0,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-08,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,81,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-09,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,30,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-10,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,52,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-11,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,33,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-12,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,40,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-13,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,0,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-14,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-15,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,22,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-16,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,140,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-17,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,53,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-18,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,7,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-19,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,0,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-20,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106,259,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-21,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,256,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-22,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,256,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-23,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,186,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-24,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,8,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-25,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,64,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-26,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,64,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-27,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,0,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-28,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,88,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-29,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,70,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-09-30,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,37,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-10-01,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,42,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-10-02,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,55,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-10-03,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,0,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-10-04,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,32,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-10-05,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,0,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-10-06,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,42,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2025-10-07,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,176,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
